"","...1","Name","Wins","WinPercentage","Pace","eFG","TOV","ORB","DRB","FTF","oppeFG","oppTOV","oppORB","oppDRB","oppFTF"
"1",1,"brock",15,0.789473684210526,1.91249671139174,0.47329498767461,0.219448635303799,0.342618384401114,0.723650385604113,0.224322103533279,0.439264328485885,0.213168133778526,0.276349614395887,0.657381615598886,0.248075278015398
"2",2,"carleton",19,1,1.84002628120894,0.584291187739464,0.170514540110157,0.447495961227787,0.763907734056988,0.17088122605364,0.404444444444444,0.225180144115292,0.236092265943012,0.552504038772213,0.181333333333333
"3",3,"ryerson",17,0.894736842105263,1.95424528301887,0.523895727733526,0.147987895519219,0.303030303030303,0.699363057324841,0.172338884866039,0.439852700490998,0.240501869817354,0.300636942675159,0.696969696969697,0.171031096563011
"4",4,"calgary",16,0.8,2.05984507746127,0.542013626040878,0.192429098679099,0.298772169167804,0.728947368421053,0.27554882664648,0.482717989002357,0.249084870669802,0.271052631578947,0.701227830832196,0.22152395915161
"5",5,"victoria",9,0.45,1.89651851851852,0.48671875,0.196639489913243,0.30566534914361,0.707417582417582,0.22109375,0.493822393822394,0.182273423107859,0.292582417582418,0.69433465085639,0.223166023166023
"6",6,"alberta",14,0.7,1.90301308965177,0.517557251908397,0.19614465343448,0.319534282018111,0.75453446191052,0.223664122137405,0.466741405082212,0.171157386997225,0.24546553808948,0.680465717981889,0.171898355754858
"7",7,"upei",6,0.3,2.16065287814603,0.446710526315789,0.154377668610257,0.311717861205916,0.727748691099476,0.246052631578947,0.518339100346021,0.163402480009271,0.272251308900524,0.688282138794084,0.233217993079585
"8",8,"mcgill",13,0.8125,1.92933665524759,0.510309278350515,0.25253340218163,0.37029702970297,0.759515570934256,0.216494845360825,0.397642015005359,0.229291135152592,0.240484429065744,0.62970297029703,0.237942122186495
"9",9,"unbc",4,0.2,1.93111722069483,0.462539432176656,0.191536404771699,0.185840707964602,0.682089552238806,0.178233438485804,0.55044390637611,0.205900750625521,0.317910447761194,0.814159292035398,0.245359160613398
"10",10,"saskatchewan",14,0.7,1.9614096475881,0.483883647798742,0.219208286329607,0.368571428571429,0.76843467011643,0.282232704402516,0.455172413793103,0.188741386299149,0.23156532988357,0.631428571428571,0.18544061302682
"11",11,"ubc",19,0.95,2.00484472049689,0.55079006772009,0.185924291628449,0.350136239782016,0.763888888888889,0.300225733634311,0.442231075697211,0.230449003865596,0.236111111111111,0.649863760217984,0.231872509960159
"12",12,"western",7,0.35,1.98111992071358,0.481831945495836,0.188976772126552,0.226790450928382,0.664756446991404,0.163512490537472,0.518648018648019,0.246837974303854,0.335243553008596,0.773209549071618,0.19036519036519
"13",13,"unb",14,0.7,2.0512,0.514898255813954,0.16905500085443,0.305949008498584,0.705075445816187,0.24781976744186,0.46484375,0.181939880735061,0.294924554183813,0.694050991501416,0.35625
"14",14,"trinitywestern",3,0.15,2.04480099502488,0.457234497505346,0.211077953271708,0.297202797202797,0.672258064516129,0.161083392729865,0.531044558071585,0.193978137809877,0.327741935483871,0.702797202797203,0.25054784514244
"15",15,"laurier",9,0.45,1.95248035363458,0.431286549707602,0.193446754883428,0.307038834951456,0.665060240963855,0.193713450292398,0.457543859649123,0.161310569922169,0.334939759036145,0.692961165048544,0.19859649122807
"16",16,"ottawa",16,0.842105263157895,1.80709997389715,0.526165167620605,0.164492669975759,0.329376854599407,0.707042253521127,0.170073589533933,0.432958477508651,0.211839898201168,0.292957746478873,0.670623145400594,0.181660899653979
"17",17,"lethbridge",13,0.65,2.04941960978019,0.482823002240478,0.211050019462826,0.293963254593176,0.724183006535948,0.238237490664675,0.483798040693293,0.226854836783915,0.275816993464052,0.706036745406824,0.217784476262246
"18",18,"toronto",11,0.578947368421053,1.87720646700239,0.484179850124896,0.173779271836363,0.287790697674419,0.706944444444444,0.214820982514571,0.491207034372502,0.172148355493352,0.293055555555556,0.712209302325581,0.181454836131095
"19",19,"saintmarys",13,0.65,2.03799650262303,0.496448863636364,0.146126717143069,0.27051282051282,0.721079691516709,0.220880681818182,0.475925925925926,0.19069552078764,0.278920308483291,0.72948717948718,0.247407407407407
"20",20,"waterloo",6,0.3,2.04345312892687,0.43050475493782,0.193024167851365,0.304291287386216,0.693140794223827,0.2033650329188,0.449582753824757,0.147490804966552,0.306859205776173,0.695708712613784,0.198191933240612
"21",21,"dalhousie",16,0.8,1.8335652173913,0.523191823899371,0.158627735656289,0.305980528511822,0.753403933434191,0.239779874213836,0.506607929515419,0.21239107274565,0.246596066565809,0.694019471488178,0.237004405286344
"22",22,"stfx",9,0.45,2.08618290258449,0.502799160251924,0.176630434782609,0.305980528511822,0.707632600258732,0.196641007697691,0.50104748603352,0.163952147592966,0.292367399741268,0.694019471488178,0.20391061452514
"23",23,"winnipeg",12,0.6,2.01467133216696,0.513919413919414,0.195399455849617,0.303448275862069,0.701754385964912,0.177289377289377,0.49373618275608,0.202230131667372,0.298245614035088,0.696551724137931,0.171702284450995
"24",24,"thompsonrivers",8,0.4,1.946625,0.462191358024691,0.2243901191633,0.29242819843342,0.7264631043257,0.195987654320988,0.507213363705391,0.184473283624449,0.2735368956743,0.70757180156658,0.185269552012149
"25",25,"regina",9,0.45,2.08844711177794,0.486060161408657,0.201887468641739,0.293978748524203,0.675879396984925,0.231107850330154,0.490874524714829,0.229225673275407,0.324120603015075,0.706021251475797,0.275285171102662
"26",26,"mountroyal",8,0.4,2.00569306930693,0.478754578754579,0.191652991746063,0.28537170263789,0.689153439153439,0.203663003663004,0.492609016999261,0.211437526429691,0.310846560846561,0.71462829736211,0.181079083518108
