,...1,Name,Wins,WinPercentage,Pace,eFG,TOV,ORB,DRB,FTF,oppeFG,oppTOV,oppORB,oppDRB,oppFTF
79,32,guelph,14,0.583333333,2.023350785,0.404747413,0.214402954,0.330444204,0.671428571,0.192331102,0.417915531,0.268407311,0.328571429,0.669555796,0.207765668
80,33,algoma,2,0.083333333,1.958984291,0.352983988,0.278827027,0.274285714,0.607032058,0.172489083,0.416565901,0.178212689,0.392967942,0.725714286,0.23095526
81,34,laurentian,5,0.217391304,1.891989378,0.391039427,0.23058337,0.27480916,0.592880979,0.197849462,0.463120104,0.210806482,0.407119021,0.72519084,0.182114883
82,35,ubcokanagan,0,0,1.857675,0.37147737,0.244352298,0.234643735,0.604774536,0.165670367,0.483193277,0.212548429,0.395225464,0.765356265,0.195569137
83,36,lakehead,16,0.666666667,1.951648581,0.407018596,0.204479274,0.368586387,0.651982379,0.155968806,0.383848134,0.255772229,0.348017621,0.631413613,0.158944659
84,37,ufv,8,0.4,1.8835647,0.424744898,0.232640903,0.260292165,0.67583047,0.24744898,0.416414523,0.213540435,0.32416953,0.739707835,0.182299546
85,38,memorial,11,0.55,2.047261462,0.413299045,0.193667902,0.243872549,0.720098644,0.208670096,0.402689314,0.188835555,0.279901356,0.756127451,0.176220807
86,39,mcmaster,20,0.833333333,1.89590112,0.443396226,0.208310249,0.385947047,0.656219393,0.162507608,0.378757515,0.258361729,0.343780607,0.614052953,0.169672679
87,40,bishops,8,0.5,1.903029357,0.402977906,0.221036086,0.317683881,0.696869852,0.158501441,0.415752742,0.226173636,0.303130148,0.682316119,0.208374875
88,41,laval,12,0.75,1.882261087,0.39707271,0.201692247,0.303482587,0.73415493,0.152030217,0.387249737,0.238431056,0.26584507,0.696517413,0.187565859
89,42,nipissing,2,0.086956522,1.930393053,0.351088647,0.280314622,0.243373494,0.583427923,0.129082426,0.44379845,0.182314871,0.416572077,0.756626506,0.195090439
90,43,capebreton,13,0.65,2.041008445,0.462373933,0.208770816,0.275555556,0.761038961,0.238944919,0.425710124,0.206225587,0.238961039,0.724444444,0.139839767
91,44,uqam,5,0.3125,1.857182923,0.423783784,0.242906785,0.282771536,0.648739496,0.218378378,0.409223301,0.224495927,0.351260504,0.717228464,0.166990291
92,45,macewan,4,0.2,1.924381095,0.363751051,0.287178296,0.307588076,0.665254237,0.176619008,0.434008097,0.247272156,0.334745763,0.692411924,0.194331984
93,46,concordia,4,0.25,1.910429064,0.392262488,0.210070134,0.294117647,0.666666667,0.175318315,0.435393258,0.197419732,0.333333333,0.705882353,0.162921348
94,47,york,11,0.47826087,2.086748099,0.373104812,0.246840442,0.411899314,0.689613527,0.234673698,0.402332362,0.266856431,0.310386473,0.588100686,0.233965015
95,1,brock,11,0.458333333,1.804571771,0.389230769,0.186814644,0.308571429,0.630546956,0.153846154,0.416612589,0.236940588,0.369453044,0.691428571,0.186891629
96,2,carleton,18,0.782608696,1.848480276,0.438873626,0.223539931,0.362530414,0.752880922,0.174450549,0.375093214,0.247959679,0.247119078,0.637469586,0.175242356
97,3,ryerson,17,0.739130435,1.846692776,0.450633756,0.214960297,0.401993355,0.727574751,0.21814543,0.396974063,0.239907346,0.272425249,0.598006645,0.152017291
98,4,calgary,17,0.85,1.951404425,0.456981664,0.209340799,0.371428571,0.677792041,0.159379408,0.406170752,0.317480556,0.322207959,0.628571429,0.182586644
99,5,victoria,12,0.6,1.9593212,0.45752608,0.197176731,0.303813038,0.690972222,0.227272727,0.436830835,0.195087068,0.309027778,0.696186962,0.170592434
100,6,alberta,15,0.75,1.909046093,0.461420932,0.221546705,0.337905237,0.662606577,0.212375859,0.42153723,0.246557258,0.337393423,0.662094763,0.231385108
101,7,upei,17,0.85,1.968569997,0.432533733,0.167967467,0.254901961,0.748443337,0.225637181,0.393095768,0.189034705,0.251556663,0.745098039,0.144766147
102,8,mcgill,10,0.625,1.797587719,0.41928494,0.265323993,0.332688588,0.691637631,0.145178765,0.390510949,0.2211315,0.308362369,0.667311412,0.193952033
103,9,unbc,11,0.55,1.960664336,0.468868641,0.2,0.322056834,0.676190476,0.230827639,0.431659693,0.18231138,0.323809524,0.677943166,0.152022315
104,10,saskatchewan,16,0.8,1.89251939,0.517817372,0.231408436,0.453900709,0.747368421,0.172234595,0.384294069,0.249893662,0.252631579,0.546099291,0.162071846
105,11,ubc,14,0.7,1.931746032,0.475374732,0.215108187,0.383054893,0.732317737,0.16773733,0.40527838,0.194493559,0.267682263,0.616945107,0.171366594
106,12,acadia,13,0.65,2.127961847,0.44198895,0.192530297,0.325255102,0.789029536,0.196823204,0.418181818,0.219685726,0.210970464,0.674744898,0.267193676
107,13,western,5,0.208333333,1.822495895,0.372836719,0.270751975,0.249704142,0.64293915,0.187358916,0.457573853,0.200567623,0.35706085,0.750295858,0.152734129
